"",""
"<Language> is a two-letter language code defined in ISO 639-1, and <country> is a two-letter country code defined in ISO 3166-1 alpha-2. Usually <country> should be all capitalized, and <language> should be in lowercase. e.g. en_US, en_GB, en_AU, fr_FR, de_DE, or ja_JP.","<Language> is a two-letter language code defined in ISO 639-1, and <country> is a two-letter country code defined in ISO 3166-1 alpha-2. Usually <country> should be all capitalized, and <language> should be in lowercase. e.g. en_US, en_GB, en_AU, fr_FR, de_DE, or ja_JP."
"Action","Action"
"Add Google Merchent Information","Add Google Merchent Information"
"An error occurred while updating the google merchent information.","An error occurred while updating the google merchent information."
"Are you sure?","Are you sure?"
"Badge Container","Badge Container"
"Badge Position","Badge Position"
"CSV","CSV"
"Change status","Change status"
"Could not find google merchent information to delete.","Could not find google merchent information to delete."
"Created at","Created at"
"Delete Google Merchent Information","Delete Google Merchent Information"
"Delete","Delete"
"Disabled","Disabled"
"Edit Google Merchent Information '%s'","Edit Google Merchent Information '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving google merchent information","Error saving google merchent information"
"Excel","Excel"
"Google Merchent Information was saved","Google Merchent Information was saved"
"Google Merchent Information was successfully deleted.","Google Merchent Information was successfully deleted."
"Google Merchent Information was successfully saved","Google Merchent Information was successfully saved"
"Google Merchent Information","Google Merchent Information"
"Google Shopping Country","Google Shopping Country"
"Google Shopping Language","Google Shopping Language"
"Google Trusted Stores Id","Google Trusted Stores Id"
"Home","Home"
"Id","Id"
"Item Google Shopping Account Id","Item Google Shopping Account Id"
"Item Google Shopping Id","Item Google Shopping Id"
"Locale","Locale"
"No","No"
"None","None"
"Please select google merchent information to delete.","Please select google merchent information to delete."
"Please select google merchent information.","Please select google merchent information."
"Provide this field only if you submit feeds for Google Shopping.  Account ID from Google Merchant Center. This value should match the account ID you use to submit your product data feed to Google Shopping through Google Merchant center. If you have a MCA account, use the subaccount ID associated with that product feed.","Provide this field only if you submit feeds for Google Shopping.  Account ID from Google Merchant Center. This value should match the account ID you use to submit your product data feed to Google Shopping through Google Merchant center. If you have a MCA account, use the subaccount ID associated with that product feed."
"Provide this field only if you submit feeds for Google Shopping.  Account country from Google Shopping. This value should match the account country you use to submit your product data feed to Google Shopping.  The value of the country parameter should be a two-letter ISO 3166 country code.  For example, values could be “US”, “GB”, “AU”, “FR”, “DE”, “JP”.","Provide this field only if you submit feeds for Google Shopping.  Account country from Google Shopping. This value should match the account country you use to submit your product data feed to Google Shopping.  The value of the country parameter should be a two-letter ISO 3166 country code.  For example, values could be “US”, “GB”, “AU”, “FR”, “DE”, “JP”."
"Provide this field only if you submit feeds for Google Shopping.  Account language from Google Shopping. This value should match the account language you use to submit your product data feed to Google Shopping.  The value of the language parameter should be a two-letter ISO 639-1 language code.  For example, values could be "en", "fr", "de", "ja".","Provide this field only if you submit feeds for Google Shopping.  Account language from Google Shopping. This value should match the account language you use to submit your product data feed to Google Shopping.  The value of the language parameter should be a two-letter ISO 639-1 language code.  For example, values could be "en", "fr", "de", "ja"."
"Provide this field only if you submit feeds for Google Shopping.","Provide this field only if you submit feeds for Google Shopping."
"Required for USER_DEFINED badge position","Required for USER_DEFINED badge position"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Google Merchent Information","Save Google Merchent Information"
"Status","Status"
"Store views","Store views"
"The google merchent information has been deleted.","The google merchent information has been deleted."
"There was a problem saving the google merchent information.","There was a problem saving the google merchent information."
"There was an error deleting google merchent information.","There was an error deleting google merchent information."
"There was an error updating google merchent information.","There was an error updating google merchent information."
"This google merchent information no longer exists.","This google merchent information no longer exists."
"Total of %d google merchent information were successfully deleted.","Total of %d google merchent information were successfully deleted."
"Total of %d google merchent information were successfully updated.","Total of %d google merchent information were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find google merchent information to save.","Unable to find google merchent information to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"